Date,Number of Records,Stock,Stock Value
5/1/2008,1,Mdlz,16.962301
6/2/2008,1,Mdlz,14.996203
7/1/2008,1,Mdlz,16.772554
8/1/2008,1,Mdlz,16.609152
9/2/2008,1,Mdlz,17.407118
10/1/2008,1,Mdlz,15.509609
11/3/2008,1,Mdlz,14.462524
12/1/2008,1,Mdlz,14.426944
1/2/2009,1,Mdlz,15.071722
2/2/2009,1,Mdlz,12.240067
3/2/2009,1,Mdlz,12.13574
4/1/2009,1,Mdlz,12.740076
5/1/2009,1,Mdlz,14.21553
6/1/2009,1,Mdlz,13.952106
7/1/2009,1,Mdlz,15.603894
8/3/2009,1,Mdlz,15.6094
9/1/2009,1,Mdlz,14.624016
10/1/2009,1,Mdlz,15.319867
11/2/2009,1,Mdlz,14.796587
12/1/2009,1,Mdlz,15.291499
1/4/2010,1,Mdlz,15.561547
2/1/2010,1,Mdlz,15.994751
3/1/2010,1,Mdlz,17.175674
4/1/2010,1,Mdlz,16.81217
5/3/2010,1,Mdlz,16.24419
6/1/2010,1,Mdlz,16.062218
7/1/2010,1,Mdlz,16.756334
8/2/2010,1,Mdlz,17.15789
9/1/2010,1,Mdlz,17.865786
10/1/2010,1,Mdlz,18.682077
11/1/2010,1,Mdlz,17.512638
12/1/2010,1,Mdlz,18.409662
1/3/2011,1,Mdlz,17.860468
2/1/2011,1,Mdlz,18.602465
3/1/2011,1,Mdlz,18.492435
4/1/2011,1,Mdlz,19.807426
5/2/2011,1,Mdlz,20.621187
6/1/2011,1,Mdlz,20.950609
7/1/2011,1,Mdlz,20.445131
8/1/2011,1,Mdlz,20.825727
9/1/2011,1,Mdlz,20.13657
10/3/2011,1,Mdlz,21.096024
11/1/2011,1,Mdlz,21.677694
12/1/2011,1,Mdlz,22.57695
1/3/2012,1,Mdlz,23.144999
2/1/2012,1,Mdlz,23.006008
3/1/2012,1,Mdlz,23.144722
4/2/2012,1,Mdlz,24.277296
5/1/2012,1,Mdlz,23.30304
6/1/2012,1,Mdlz,23.698162
7/2/2012,1,Mdlz,24.367012
8/1/2012,1,Mdlz,25.471535
9/4/2012,1,Mdlz,25.558983
10/1/2012,1,Mdlz,24.616072
11/1/2012,1,Mdlz,24.004147
12/3/2012,1,Mdlz,23.717634
1/2/2013,1,Mdlz,25.898352
2/1/2013,1,Mdlz,25.758562
3/1/2013,1,Mdlz,28.78278
4/1/2013,1,Mdlz,29.562979
5/1/2013,1,Mdlz,27.711178
6/3/2013,1,Mdlz,26.939571
7/1/2013,1,Mdlz,29.526829
8/1/2013,1,Mdlz,28.960276
9/3/2013,1,Mdlz,29.798428
10/1/2013,1,Mdlz,31.91334
11/1/2013,1,Mdlz,31.79953
12/2/2013,1,Mdlz,33.61298
1/2/2014,1,Mdlz,31.194368
2/3/2014,1,Mdlz,32.403675
3/3/2014,1,Mdlz,33.034172
4/1/2014,1,Mdlz,34.085911
5/1/2014,1,Mdlz,35.969479
6/2/2014,1,Mdlz,36.096092
7/1/2014,1,Mdlz,34.570095
8/1/2014,1,Mdlz,34.73325
9/2/2014,1,Mdlz,33.033169
10/1/2014,1,Mdlz,33.987434
11/3/2014,1,Mdlz,37.78524
12/1/2014,1,Mdlz,35.158489
1/2/2015,1,Mdlz,34.103638
2/2/2015,1,Mdlz,35.748814
3/2/2015,1,Mdlz,35.07621
4/1/2015,1,Mdlz,37.29216
5/1/2015,1,Mdlz,40.421711
6/1/2015,1,Mdlz,40.130886
7/1/2015,1,Mdlz,44.023018
8/3/2015,1,Mdlz,41.320961
9/1/2015,1,Mdlz,41.005852
10/1/2015,1,Mdlz,45.207314
11/2/2015,1,Mdlz,42.758907
12/1/2015,1,Mdlz,44.080826
1/4/2016,1,Mdlz,42.370281
2/1/2016,1,Mdlz,39.843796
3/1/2016,1,Mdlz,39.611477
