Date,AAPL,IBM,MSFT,NFLX,ORCL
2014-12-15,108.2300033569336,153.05999755859375,46.66999816894531,46.720001220703125,41.11000061035156
2014-12-16,106.75,151.41000366210938,45.15999984741211,45.20571517944336,40.630001068115234
2014-12-17,109.41000366210938,151.92999267578125,45.7400016784668,47.66428756713867,41.15999984741211
2014-12-18,112.6500015258789,157.67999267578125,47.52000045776367,47.77428436279297,45.349998474121094
2014-12-19,111.77999877929688,158.50999450683594,47.65999984741211,48.58856964111328,46.0
2014-12-22,112.94000244140625,161.44000244140625,47.97999954223633,48.09714126586914,45.650001525878906
2014-12-23,112.54000091552734,162.24000549316406,48.45000076293945,48.06142807006836,46.0099983215332
2014-12-24,112.01000213623047,161.82000732421875,48.13999938964844,48.871429443359375,46.22999954223633
2014-12-26,113.98999786376953,162.33999633789062,47.880001068115234,48.57857131958008,46.099998474121094
2014-12-29,113.91000366210938,160.50999450683594,47.45000076293945,48.84714126586914,45.61000061035156
2014-12-30,112.5199966430664,160.0500030517578,47.02000045776367,49.03285598754883,45.34000015258789
2014-12-31,110.37999725341797,160.44000244140625,46.45000076293945,48.801429748535156,44.970001220703125
2015-01-02,109.33000183105469,162.05999755859375,46.7599983215332,49.84857177734375,44.33000183105469
2015-01-05,106.25,159.50999450683594,46.33000183105469,47.31142807006836,43.59000015258789
2015-01-06,106.26000213623047,156.07000732421875,45.650001525878906,46.501426696777344,43.13999938964844
2015-01-07,107.75,155.0500030517578,46.22999954223633,46.74285888671875,43.150001525878906
2015-01-08,111.88999938964844,158.4199981689453,47.59000015258789,47.779998779296875,43.40999984741211
2015-01-09,112.01000213623047,159.11000061035156,47.189998626708984,47.04142761230469,43.38999938964844
2015-01-12,109.25,156.44000244140625,46.599998474121094,45.547142028808594,43.27000045776367
2015-01-13,110.22000122070312,156.80999755859375,46.36000061035156,46.255714416503906,42.93000030517578
2015-01-14,109.80000305175781,155.8000030517578,45.959999084472656,46.31999969482422,43.060001373291016
2015-01-15,106.81999969482422,154.57000732421875,45.47999954223633,46.251426696777344,42.630001068115234
2015-01-16,105.98999786376953,157.13999938964844,46.2400016784668,48.191429138183594,43.5099983215332
2015-01-20,108.72000122070312,156.9499969482422,46.38999938964844,49.82857131958008,43.900001525878906
2015-01-21,109.55000305175781,152.08999633789062,45.91999816894531,58.468570709228516,43.4900016784668
2015-01-22,112.4000015258789,155.38999938964844,47.130001068115234,61.20571517944336,44.04999923706055
2015-01-23,112.9800033569336,155.8699951171875,47.18000030517578,62.494285583496094,44.189998626708984
2015-01-26,113.0999984741211,156.36000061035156,47.0099983215332,63.79428482055664,43.900001525878906
2015-01-27,109.13999938964844,153.6699981689453,42.65999984741211,64.88143157958984,43.400001525878906
2015-01-28,115.30999755859375,151.5500030517578,41.189998626708984,63.20857238769531,42.689998626708984
2015-01-29,118.9000015258789,155.47999572753906,42.0099983215332,63.400001525878906,42.86000061035156
2015-01-30,117.16000366210938,153.30999755859375,40.400001525878906,63.11428451538086,41.88999938964844
2015-02-02,118.62999725341797,154.66000366210938,41.279998779296875,63.0099983215332,42.68000030517578
2015-02-03,118.6500015258789,158.47000122070312,41.599998474121094,65.27428436279297,43.040000915527344
2015-02-04,119.55999755859375,156.9600067138672,41.84000015258789,64.10142517089844,42.41999816894531
2015-02-05,119.94000244140625,157.91000366210938,42.45000076293945,64.12999725341797,43.15999984741211
2015-02-06,118.93000030517578,156.72000122070312,42.40999984741211,63.47999954223633,42.97999954223633
2015-02-09,119.72000122070312,155.75,42.36000061035156,63.29571533203125,43.400001525878906
