FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,WA,312,0,57,,,,,53,,,63000,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605363000,"Seattle city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,58,,,,,53,,,70000,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605370000,"Tacoma city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,59,,,,,53,,,67000,,,,,,,,,,44060,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US440605367000,"Spokane city, WA; Spokane-Spokane Valley, WA Metro Area",,,
ACSSF,WA,312,0,60,,,,,53,,,67167,,,,,,,,,,44060,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US440605367167,"Spokane Valley city, WA; Spokane-Spokane Valley, WA Metro Area",,,
ACSSF,WA,312,0,61,,,,,53,,,80010,,,,,,,,,,49420,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US494205380010,"Yakima city, WA; Yakima, WA Metro Area",,,
ACSSF,WA,500,0,62,,,,,53,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,50000US5301,"Congressional District 1 (114th Congress), Washington",,,
ACSSF,WA,500,0,63,,,,,53,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,50000US5302,"Congressional District 2 (114th Congress), Washington",,,
ACSSF,WA,500,0,64,,,,,53,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,50000US5303,"Congressional District 3 (114th Congress), Washington",,,
ACSSF,WA,500,0,65,,,,,53,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,50000US5304,"Congressional District 4 (114th Congress), Washington",,,
ACSSF,WA,500,0,66,,,,,53,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,50000US5305,"Congressional District 5 (114th Congress), Washington",,,
