OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
281,01N3832W,FIR,4,5
282,01N3833NW,FIR,12,13
283,01N3833SW,RED FIR,14,21
284,01N3833W,FIR,5,3
285,01S3501N,PINE,36,48
286,01S3501NW,WESTERN LARCH,12,7
287,01S3501W,WESTERN LARCH,9,24
288,01S3502N,SPRUCE,8,40
289,01S3502NW,SPRUCE,12,43
290,01S3502W,PINE,36,173
291,01S3503N,PINE,12,45
292,01S3503NW,FIR,10,46
293,01S3503W,PINE,12,76
294,01S3504N,BLACK PINE,12,28
295,01S3504NW,HEMLOCK,18,19
296,01S3504W,PINE,24,15
297,01S3505N,RED FIR,12,14
298,01S3505NW,PINE,26,43
299,01S3507NW,PINE,24,94
300,01S3508N,PINE,5,6
301,01S3508W,FIR,16,55
302,01S3509N,PINE,6,32
303,01S3509W,PINE,20,239
304,01S3510N,WESTERN LARCH,36,117
305,01S3510W,WESTERN LARCH,10,30
306,01S3511N,PINE,26,22
307,01S3511NW,PINE,22,5
308,01S3512N,PINE,26,91
309,01S3512NE,PINE,30,76
310,01S3512NW,PINE,6,40
311,01S3512W,WESTERN LARCH,3,29
312,01S3513N,PINE,48,55
313,01S3513NE,PINE,6,40
314,01S3513NW,FIR,10,22
315,01S3513W,FIR,18,77
316,01S3514N,SPRUCE,14,26
317,01S3514NW,SPRUCE,20,30
318,01S3514W,WESTERN LARCH,7,48
319,01S3515NW,PINE,7,148
320,01S3515W,PINE,5,38
321,01S3516N,PINE,16,2
322,01S3516NW,FIR,20,24
323,01S3517N,PINE,4,20
324,01S3517NW,PINE,24,23
325,01S3517W,PINE,24,38
326,01S3519NW,PINE,16,44
327,01S3520N,FIR,20,14
328,01S3520NW,FIR,20,15
329,01S3520W,WESTERN LARCH,6,24
330,01S3521N,PINE,24,126
331,01S3521NW,FIR,8,27
332,01S3522N,PINE,24,26
333,01S3522NW,FIR,30,8
334,01S3522W,FIR,9,28
335,01S3523N,PINE,6,12
336,01S3523NW,FIR,8,29
337,01S3523W,PINE,10,37
338,01S3524N,WESTERN LARCH,34,53
