Date,StockName,StockPrice
8/13/2010,AAPL,35.58571243
8/13/2010,NFLX,18.8942852
8/13/2010,ORCL,22.65999985
8/13/2010,MSFT,24.39999962
8/16/2010,IBM,127.7699966
8/16/2010,AAPL,35.37714386
8/16/2010,NFLX,19.60285759
8/16/2010,ORCL,22.71999931
8/16/2010,MSFT,24.5
8/17/2010,IBM,128.4499969
8/17/2010,AAPL,35.99571609
8/17/2010,NFLX,18.99571419
8/17/2010,ORCL,23.04999924
8/17/2010,MSFT,24.70999908
8/18/2010,IBM,129.3899994
8/18/2010,AAPL,36.15285873
8/18/2010,NFLX,17.95714378
8/18/2010,ORCL,23.09000015
