Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
2010-10-05,88.86000061035156,38.279998779296875,41.27714157104492,68.5999984741211,79.4000015258789,83.38999938964844,21.989999771118164,29.829999923706055,33.83000183105469,,63.2599983215332,149.57000732421875,31.739999771118164,137.66000366210938,19.149999618530273,62.79999923706055,39.63999938964844,75.81999969482422,37.02000045776367,24.350000381469727,20.325000762939453,17.229999542236328,60.81999969482422,52.869998931884766,72.51000213623047,35.06999969482422,33.56999969482422,18.747499465942383,54.0,33.97999954223633
2010-10-06,89.88999938964844,38.02000045776367,41.31285858154297,68.58000183105469,79.08000183105469,83.88999938964844,22.299999237060547,29.899999618530273,33.720001220703125,,63.939998626708984,150.83999633789062,31.739999771118164,137.83999633789062,19.309999465942383,63.209999084472656,39.900001525878906,75.55999755859375,37.0099983215332,24.43000030517578,20.327499389648438,17.260000228881836,60.869998931884766,52.81999969482422,72.87000274658203,33.95000076293945,33.36000061035156,18.5575008392334,54.560001373291016,34.060001373291016
2010-10-07,88.9000015258789,37.81999969482422,41.317142486572266,68.45999908447266,78.73999786376953,83.5199966430664,22.389999389648438,29.719999313354492,33.90999984741211,,63.849998474121094,151.11000061035156,31.739999771118164,138.72000122070312,19.399999618530273,63.220001220703125,39.52000045776367,75.86000061035156,36.709999084472656,24.530000686645508,20.247499465942383,17.3799991607666,60.79999923706055,52.61000061035156,72.77999877929688,34.34000015258789,32.93000030517578,18.40250015258789,54.36000061035156,33.869998931884766
2010-10-08,89.16000366210938,37.9900016784668,42.0099983215332,69.2300033569336,80.37000274658203,83.94000244140625,22.479999542236328,29.704999923706055,34.5099983215332,,64.37999725341797,152.66000366210938,31.889999389648438,138.85000610351562,19.520000457763672,63.22999954223633,39.310001373291016,76.0999984741211,36.90999984741211,24.56999969482422,20.510000228881836,17.459999084472656,61.86000061035156,52.810001373291016,72.91000366210938,34.349998474121094,32.83000183105469,18.5,54.40999984741211,33.97999954223633
2010-10-11,88.25,37.939998626708984,42.19428634643555,69.98999786376953,79.9800033569336,83.70999908447266,22.469999313354492,29.780000686645508,34.56999969482422,,64.55000305175781,152.1999969482422,31.790000915527344,139.66000366210938,19.559999465942383,63.29999923706055,39.72999954223633,75.58999633789062,36.86000061035156,24.59000015258789,20.4950008392334,17.3799991607666,62.13999938964844,52.95000076293945,72.93000030517578,34.650001525878906,33.029998779296875,18.572500228881836,54.61000061035156,33.75
2010-10-12,88.1500015258789,38.540000915527344,42.6485710144043,70.22000122070312,79.33999633789062,83.83999633789062,22.6200008392334,29.799999237060547,34.47999954223633,,64.69999694824219,155.2100067138672,31.40999984741211,139.85000610351562,19.770000457763672,63.290000915527344,40.400001525878906,75.58000183105469,36.63999938964844,24.829999923706055,20.47249984741211,17.479999542236328,62.02000045776367,52.81999969482422,72.9800033569336,35.02000045776367,32.540000915527344,18.5625,53.91999816894531,34.040000915527344
2010-10-13,89.13999938964844,39.2599983215332,42.87714385986328,71.47000122070312,80.29000091552734,83.66999816894531,23.18000030517578,29.969999313354492,34.90999984741211,,65.04000091552734,154.72999572753906,31.0,140.3699951171875,19.239999771118164,63.58000183105469,39.84000015258789,75.75,37.15999984741211,25.34000015258789,20.5049991607666,17.729999542236328,62.630001068115234,53.40999984741211,74.18000030517578,35.31999969482422,32.209999084472656,19.235000610351562,53.81999969482422,34.79999923706055
2010-10-14,89.06999969482422,39.439998626708984,43.18714141845703,71.36000061035156,79.91000366210938,83.9000015258789,23.06999969482422,29.954999923706055,34.849998474121094,,65.30000305175781,151.58999633789062,30.809999465942383,141.5,19.31999969482422,63.7400016784668,38.720001220703125,77.04000091552734,37.150001525878906,25.229999542236328,20.4424991607666,17.65999984741211,62.79999923706055,53.459999084472656,74.1500015258789,35.779998779296875,32.439998626708984,19.292499542236328,53.25,34.4900016784668
2010-10-15,89.13999938964844,39.09000015258789,44.96285629272461,70.11000061035156,79.75,83.61000061035156,23.360000610351562,29.969999313354492,34.880001068115234,,65.19000244140625,150.69000244140625,30.700000762939453,141.05999755859375,19.31999969482422,63.56999969482422,37.150001525878906,77.4800033569336,36.95000076293945,25.540000915527344,20.5,17.75,62.7599983215332,53.630001068115234,74.0999984741211,35.97999954223633,32.43000030517578,19.399999618530273,53.349998474121094,34.58000183105469
2010-10-18,89.66000366210938,39.54999923706055,45.42856979370117,70.2300033569336,80.23999786376953,84.4800033569336,23.299999237060547,30.0,34.75,,66.27999877929688,153.6999969482422,30.530000686645508,142.8300018310547,19.190000534057617,63.86000061035156,38.20000076293945,77.31999969482422,37.22999954223633,25.81999969482422,20.415000915527344,17.799999237060547,63.349998474121094,54.400001525878906,74.55999755859375,36.25,32.59000015258789,19.59000015258789,53.7599983215332,34.40999984741211
2010-10-19,88.55000305175781,39.310001373291016,44.21285629272461,69.05000305175781,78.55000305175781,82.79000091552734,22.969999313354492,30.170000076293945,34.2400016784668,,65.12000274658203,156.72000122070312,30.40999984741211,138.02999877929688,19.209999084472656,63.290000915527344,37.689998626708984,76.98999786376953,36.52000045776367,25.100000381469727,20.1825008392334,17.389999389648438,63.18000030517578,53.7599983215332,73.61000061035156,35.29999923706055,32.15999984741211,19.387500762939453,53.31999969482422,33.630001068115234
2010-10-20,89.47000122070312,39.72999954223633,44.361427307128906,71.36000061035156,80.31999969482422,84.0199966430664,23.399999618530273,30.575000762939453,34.619998931884766,,66.01000213623047,159.60000610351562,30.729999542236328,139.07000732421875,19.639999389648438,63.599998474121094,38.099998474121094,77.41000366210938,36.9900016784668,25.309999465942383,20.309999465942383,17.65999984741211,63.369998931884766,54.63999938964844,73.91999816894531,36.72999954223633,32.63999938964844,19.8799991607666,53.470001220703125,34.029998779296875
2010-10-21,90.55000305175781,40.27000045776367,44.21714401245117,71.5,78.88999938964844,84.25,23.260000228881836,30.735000610351562,34.68000030517578,,66.31999969482422,159.3000030517578,31.809999465942383,139.8300018310547,19.760000228881836,63.9900016784668,37.70000076293945,78.44000244140625,37.099998474121094,25.420000076293945,20.52750015258789,17.6299991607666,63.5099983215332,54.97999954223633,74.97000122070312,36.4900016784668,32.52000045776367,19.799999237060547,54.029998779296875,34.099998474121094
2010-10-22,90.44000244140625,39.029998779296875,43.924285888671875,71.26000213623047,78.33000183105469,84.55000305175781,23.479999542236328,30.80500030517578,34.970001220703125,,66.33999633789062,157.75999450683594,31.479999542236328,139.6699981689453,19.84000015258789,63.810001373291016,37.70000076293945,78.55000305175781,37.099998474121094,25.3799991607666,20.479999542236328,17.5,63.400001525878906,55.099998474121094,74.94000244140625,37.2599983215332,32.09000015258789,19.822500228881836,54.060001373291016,34.06999969482422
2010-10-25,90.9000015258789,39.29999923706055,44.119998931884766,71.66000366210938,79.05000305175781,84.87000274658203,23.610000610351562,30.5049991607666,35.459999084472656,,66.19999694824219,157.38999938964844,31.399999618530273,139.83999633789062,19.8700008392334,63.97999954223633,37.06999969482422,78.69999694824219,37.41999816894531,25.190000534057617,20.512500762939453,17.6200008392334,63.540000915527344,55.59000015258789,75.01000213623047,37.560001373291016,32.349998474121094,20.157499313354492,53.95000076293945,34.439998626708984
2010-10-26,90.47000122070312,40.099998474121094,44.00714111328125,71.30000305175781,78.6500015258789,85.1500015258789,23.399999618530273,30.6200008392334,35.959999084472656,,66.52999877929688,158.2899932861328,31.290000915527344,140.6699981689453,20.040000915527344,63.84000015258789,37.20000076293945,78.76000213623047,37.06999969482422,25.899999618530273,20.454999923706055,17.489999771118164,62.86000061035156,55.029998779296875,74.66999816894531,37.56999969482422,32.5,20.00749969482422,54.560001373291016,34.13999938964844
