FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,OR,500,0,45,,,,,41,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,50000US4103,"Congressional District 3 (114th Congress), Oregon",,,
ACSSF,OR,500,0,46,,,,,41,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,50000US4104,"Congressional District 4 (114th Congress), Oregon",,,
ACSSF,OR,500,0,47,,,,,41,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,50000US4105,"Congressional District 5 (114th Congress), Oregon",,,
ACSSF,OR,795,0,48,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,79500US4100100,"Umatilla, Union, Baker & Wallowa Counties PUMA; Oregon",,,
ACSSF,OR,795,0,49,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,79500US4100200,"North Central Oregon--The Dalles City PUMA, Oregon",,,
ACSSF,OR,795,0,50,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,79500US4100300,"Klamath, Malheur, Lake & Harney Counties PUMA; Oregon",,,
ACSSF,OR,795,0,51,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,79500US4100400,"Deschutes County PUMA, Oregon",,,
ACSSF,OR,795,0,52,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,79500US4100500,"Columbia, Lincoln, Clatsop & Tillamook Counties PUMA; Oregon",,,
ACSSF,OR,795,0,53,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,79500US4100600,"Linn & Benton Counties PUMA, Oregon",,,
ACSSF,OR,795,0,54,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,,79500US4100703,"Lane County (West Central)--Eugene City (West & South) PUMA, Oregon",,,
ACSSF,OR,795,0,55,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,79500US4100704,"Lane County (East Central)--Eugene (Northeast) & Springfield Cities PUMA, Oregon",,,
ACSSF,OR,795,0,56,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,79500US4100705,"Lane County (Outside Eugene & Springfield Cities) PUMA, Oregon",,,
ACSSF,OR,795,0,57,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,79500US4100800,"Josephine, Coos & Curry Counties PUMA; Oregon",,,
ACSSF,OR,795,0,58,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,79500US4100901,"Jackson County (Central)--Medford & Central Point Cities PUMA, Oregon",,,
